Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,6728726,RLO,Reunert Ltd.,2565064,"$13,306,232.65 ",0.003101064,Industrial Conglomerates,ZA,---
,BF0QWT5,6544,Japan Elevator Service Holdings Co. Ltd.,528870,"$13,277,765.91 ",0.00309443,Diversified Support Services,JP,---
,6405869,11200,Hyundai Merchant Marine Co. Ltd.,4324127,"$13,253,918.80 ",0.003088872,Marine,KR,---
,B11HJT8,ND8U,Frasers Commercial Trust,10718081,"$13,236,392.29 ",0.003084787,Office REITs,SG,---
,B0LD0W9,EXCL,XL AXIATA TBK PT,58388061,"$13,236,088.72 ",0.003084717,Wireless Telecommunication Services,ID,---
,6619905,6474,Nachi-Fujikoshi Corp.,302349,"$13,191,514.31 ",0.003074328,Industrial Machinery,JP,---
,BYYMZN7,2669,China Overseas Property Holdings Ltd.,20964808,"$13,185,726.82 ",0.00307298,Real Estate Services,KY,---
,B15F5K1,GOR,Gold Road Resources Ltd.,14077926,"$13,180,789.27 ",0.003071829,Gold,AU,---
,B5KYHQ1,L&TFH,L&T Finance Holdings Ltd.,7929765,"$13,179,157.29 ",0.003071449,Other Diversified Financial Services,IN,---
,B188LG5,AKA,AKKA TECHNOLOGIES,178556,"$13,171,445.35 ",0.003069651,Research & Consulting Services,BE,---
,BD9PXD0,IGL,Indraprastha Gas Ltd.,2194586,"$13,168,829.67 ",0.003069042,Gas Utilities,IN,---
,6619422,1973,NEC Networks & System Integration Corp.,371564,"$13,160,066.70 ",0.003066999,IT Consulting & Other Services,JP,---
,2484516,CJR.B,Corus Entertainment Inc. Class B,3211212,"$13,155,941.50 ",0.003066038,Broadcasting,CA,---
,BSJBZM6,PNV,PolyNovo Ltd.,9491800,"$13,149,810.56 ",0.003064609,Health Care Supplies,AU,---
,6864329,8358,Suruga Bank Ltd.,2891892,"$13,143,985.64 ",0.003063252,Regional Banks,JP,---
,BHWV281,CTY1S,Citycon Oyj,1250736,"$13,140,709.98 ",0.003062488,Real Estate Operating Companies,FI,---
,6280680,2659,San-A Co. Ltd.,295098,"$13,134,540.28 ",0.00306105,Food Retail,JP,---
,6061001,SNT,Santam Ltd.,632645,"$13,114,338.75 ",0.003056342,Property & Casualty Insurance,ZA,---
,6804488,7224,Shinmaywa Industries Ltd.,966814,"$13,112,569.67 ",0.00305593,Construction Machinery & Heavy Trucks,JP,---
,B28T1S7,JSMR,Jasa Marga Persero Tbk PT,35220402,"$13,111,490.66 ",0.003055679,Highways & Railtracks,ID,---
,B4ZPCJ0,BCPT,BMO Commercial Property Trust,8547379,"$13,100,577.44 ",0.003053135,Real Estate Operating Companies,GG,---
,BVVQ8X2,3132,Macnica Fuji Electronics Holdings Inc.,766070,"$13,098,986.12 ",0.003052764,Technology Distributors,JP,---
,6642525,6741,Nippon Signal Company Ltd.,983365,"$13,098,083.03 ",0.003052554,Electronic Equipment & Instruments,JP,---
,BF20GG0,79440,Orange Life Insurance Ltd.,536669,"$13,095,922.75 ",0.00305205,Life & Health Insurance,KR,---
,6220987,119,Poly Property Group Co. Ltd.,31520691,"$13,077,806.43 ",0.003047828,Real Estate Development,HK,---
,B5TVWD5,120110,Kolon Industries Inc.,304751,"$13,074,999.12 ",0.003047174,Commodity Chemicals,KR,---
,BD7XPJ6,NRR,NewRiver REIT plc,4918748,"$13,074,452.50 ",0.003047047,Retail REITs,GB,---
,B064D84,3765,GungHo Online Entertainment Inc.,617057,"$13,072,580.16 ",0.00304661,Interactive Home Entertainment,JP,---
,6084387,874,Guangzhou Baiyunshan Pharmaceutical Holdings Co. Ltd.,3824597,"$13,065,830.36 ",0.003045037,Pharmaceuticals,CN,---
,BQQ1JP6,9468,Kadokawa Corp.,683406,"$13,063,822.56 ",0.003044569,Publishing,JP,---
,B3WQH49,ADANIPOWER,Adani Power Ltd.,15080005,"$13,062,394.52 ",0.003044237,Independent Power Producers & Energy Tra,IN,---
,BF1FXN2,BSMXB,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,9561042,"$13,061,574.24 ",0.003044045,Diversified Banks,MX,---
,5438361,RET,Retail Estates NV,138894,"$13,061,248.59 ",0.003043969,Retail REITs,BE,---
,B5720R0,ECOR3,EcoRodovias Infraestrutura e Logistica SA,3208971,"$13,055,687.39 ",0.003042673,Highways & Railtracks,BR,---
,BJ8PD77,TITC,Titan Cement International SA,609853,"$13,054,682.45 ",0.003042439,Construction Materials,BE,---
,B01VRK0,ADANIENT,Adani Enterprises Ltd.,4464344,"$13,044,905.72 ",0.003040161,Trading Companies & Distributors,IN,---
,6407757,990,DB HiTek Co. Ltd.,546222,"$13,036,024.13 ",0.003038091,Semiconductors,KR,---
,BZ1DNL4,SHA,Schaeffler AG Preference Shares,1207266,"$13,035,050.62 ",0.003037864,Auto Parts & Equipment,DE,---
,B59GZJ7,2208,Xinjiang Goldwind Science & Technology Co. Ltd.,11216878,"$13,034,634.96 ",0.003037767,Heavy Electrical Equipment,CN,---
,B1Y9BC8,GOZ,Growthpoint Properties Australia Ltd.,4473228,"$13,029,269.23 ",0.003036517,Diversified REITs,AU,---
,B95CZJ7,KAP,KAP Industrial Holdings Ltd.,43346576,"$13,014,208.11 ",0.003033007,Industrial Conglomerates,ZA,---
,6357001,9749,Fuji Soft Inc.,337662,"$13,003,810.24 ",0.003030583,Systems Software,JP,---
,B1TSL19,VZN,VZ Holding AG,42132,"$12,993,745.44 ",0.003028238,Asset Management & Custody Banks,CH,---
,B19Z2J5,UKCM,UK Commercial Property REIT Ltd.,11026934,"$12,989,196.15 ",0.003027177,Diversified REITs,GG,---
,BYZGMM6,STG,Scandinavian Tobacco Group A/S,1064783,"$12,983,791.86 ",0.003025918,Tobacco,DK,---
,BGT2VX8,EAT,AmRest Holdings SE,1138324,"$12,981,203.11 ",0.003025315,Restaurants,ES,---
,5617096,QDT,Quadient,535624,"$12,978,532.45 ",0.003024692,"Technology Hardware, Storage & Periphera",FR,---
,B59DTF2,DBV,DBV Technologies SA,596364,"$12,978,001.59 ",0.003024568,Biotechnology,FR,---
,4943510,INH,Indus Holding AG,298343,"$12,958,372.68 ",0.003019994,Industrial Conglomerates,DE,---
,6658050,9511,Okinawa Electric Power Co. Inc.,690102,"$12,949,810.23 ",0.003017998,Electric Utilities,JP,---
,BYMXF65,Q*,Qualitas Controladora SAB de CV,3082297,"$12,943,772.67 ",0.003016591,Property & Casualty Insurance,MX,---
,BKC5FW9,VGI-F,VGI PCL,40640446,"$12,943,305.87 ",0.003016483,Advertising,TH,---
,6528443,OFSS,Oracle Financial Services Software Ltd.,337083,"$12,939,194.80 ",0.003015524,Application Software,IN,---
,6102267,BKL,Blackmores Ltd.,217405,"$12,939,192.91 ",0.003015524,Personal Products,AU,---
,B0VR4L8,DANA,Dana Gas PJSC,49501441,"$12,936,382.87 ",0.003014869,Integrated Oil & Gas,AE,---
,6219640,DLEKG,Delek Group Ltd.,84862,"$12,925,493.39 ",0.003012331,Integrated Oil & Gas,IL,---
,6565127,PTBA,Bukit Asam Tbk PT,67564254,"$12,923,091.84 ",0.003011772,Coal & Consumable Fuels,ID,---
,BYSXJH8,SHOT,Scandic Hotels Group AB,1159578,"$12,922,103.79 ",0.003011541,"Hotels, Resorts & Cruise Lines",SE,---
,6328405,CUV,Clinuvel Pharmaceuticals Ltd.,646822,"$12,908,824.36 ",0.003008446,Biotechnology,AU,---
,6071475,7230,Nissin Kogyo Co. Ltd.,636937,"$12,898,613.25 ",0.003006067,Auto Parts & Equipment,JP,---
,BF6RHX1,SIMEPROP,Sime Darby Property Bhd.,57546024,"$12,895,731.69 ",0.003005395,Diversified Real Estate Activites,MY,---
,BYVKT10,ABCAPITAL,Aditya Birla Capital Ltd.,8957846,"$12,894,777.72 ",0.003005173,Other Diversified Financial Services,IN,---
,BD1NML3,DIC,DIC Asset AG,723508,"$12,892,514.73 ",0.003004645,Diversified Real Estate Activites,DE,---
,6639947,6376,Nikkiso Co. Ltd.,983444,"$12,888,184.39 ",0.003003636,Health Care Equipment,JP,---
,6315593,BKW,Brickworks Ltd.,983067,"$12,887,582.04 ",0.003003496,Construction Materials,AU,---
,B8F2T65,3669,China Yongda Automobiles Services Holdings Ltd.,14146504,"$12,881,821.85 ",0.003002153,Automotive Retail,KY,---
,BDRZRW9,3706,Mitac Holdings Corp.,13295119,"$12,873,020.73 ",0.003000102,"Technology Hardware, Storage & Periphera",TW,---
,6803247,81,China Overseas Grand Oceans Group Ltd.,18573288,"$12,864,223.31 ",0.002998052,Real Estate Development,HK,---
,BFWHKM5,ENEV3,ENEVA SA,1180272,"$12,851,648.12 ",0.002995121,Independent Power Producers & Energy Tra,BR,---
,B55W726,140410,Mezzion Pharma Co. Ltd.,77978,"$12,846,509.29 ",0.002993924,Pharmaceuticals,KR,---
,6841913,8850,Starts Corp. Inc.,504759,"$12,844,002.14 ",0.002993339,Homebuilding,JP,---
,4672308,ROTH,Rothschild & Co.,445122,"$12,840,997.53 ",0.002992639,Diversified Capital Markets,FR,---
,BY2ZJ69,BZUN,Baozun Inc.,387376,"$12,829,893.12 ",0.002990051,Internet & Direct Marketing Retail,KY,ADR
,B0QDXM5,AIAENG,AIA Engineering Ltd.,555003,"$12,824,645.21 ",0.002988828,Industrial Machinery,IN,---
,6926553,9956,Valor Holdings Co. Ltd.,655840,"$12,811,233.77 ",0.002985703,Food Retail,JP,---
,6012106,7412,Atom Corp.,1371903,"$12,788,732.24 ",0.002980459,Restaurants,JP,---
,6009205,AFE,AECI Ltd.,1673802,"$12,780,951.43 ",0.002978645,Specialty Chemicals,ZA,---
,BN3ZYS8,KIN,Kinepolis Group NV,192005,"$12,758,827.47 ",0.002973489,Movies & Entertainment,BE,---
,B19NK95,4220,Emaar Economic City,5007427,"$12,753,616.98 ",0.002972275,Real Estate Development,SA,---
,6898908,665,Haitong International Securities Group Ltd.,41913915,"$12,745,973.89 ",0.002970494,Investment Banking & Brokerage,BM,---
,6621524,8367,Nanto Bank Ltd.,502379,"$12,745,206.03 ",0.002970315,Regional Banks,JP,---
,6538527,SMRA,Summarecon Agung Tbk PT,176363056,"$12,739,055.23 ",0.002968881,Real Estate Development,ID,---
,BF4HYT8,BGEO,Bank of Georgia Group plc,589626,"$12,736,225.22 ",0.002968222,Diversified Banks,GB,---
,6160953,341,Cafe de Coral Holdings Ltd.,5371002,"$12,722,512.21 ",0.002965026,Restaurants,BM,---
,447889,HTG,Hunting plc,2282502,"$12,722,335.72 ",0.002964985,Oil & Gas Equipment & Services,GB,---
,B7ZGK34,EML,EML Payments Ltd.,3995468,"$12,718,731.96 ",0.002964145,Data Processing & Outsourced Services,AU,---
,B151P43,MTG B,Modern Times Group MTG AB Class B,1067323,"$12,717,902.77 ",0.002963952,Interactive Home Entertainment,SE,---
,B89JCF2,IGBREIT,IGB REIT,27509833,"$12,711,858.77 ",0.002962543,Retail REITs,MY,---
,B6Z1L73,TATAPOWER,Tata Power Co. Ltd.,16036320,"$12,698,053.69 ",0.002959326,Electric Utilities,IN,---
,BKRKNV4,PRN,Perenti Global Ltd.,11138552,"$12,692,049.99 ",0.002957926,Diversified Metals & Mining,AU,---
,B1S0581,ORL,Oil Refineries Ltd.,25230761,"$12,686,277.38 ",0.002956581,Oil & Gas Refining & Marketing,IL,---
,6646884,9810,Nippon Steel Trading Corp.,262085,"$12,685,526.97 ",0.002956406,Trading Companies & Distributors,JP,---
,6295866,3019,Asia Optical Co. Inc.,3519519,"$12,682,871.89 ",0.002955787,Electronic Components,TW,---
,6889678,ILCO,Israel Corp. Ltd.,60825,"$12,665,344.91 ",0.002951703,Fertilizers & Agricultural Chemicals,IL,---
,B0J2LC5,3387,Create Restaurants Holdings Inc.,738083,"$12,655,512.64 ",0.002949411,Restaurants,JP,---
,6640745,2001,Nippon Flour Mills Co. Ltd.,818607,"$12,647,706.12 ",0.002947592,Packaged Foods & Meats,JP,---
,B4VGVM3,BTE,Baytex Energy Corp.,8781752,"$12,646,318 ",0.002947268,Oil & Gas Exploration & Production,CA,---
,6344274,47050,Posco International Corp.,785339,"$12,633,760.07 ",0.002944342,Trading Companies & Distributors,KR,---
,6726548,TVSMOTOR,TVS Motor Co. Ltd.,1922480,"$12,626,780.54 ",0.002942715,Motorcycle Manufacturers,IN,---
,BP4JH17,179,Johnson Electric Holdings Ltd.,5541799,"$12,606,036.81 ",0.002937881,Electrical Components & Equipment,BM,---
,B01H720,2059,King Slide Works Co. Ltd.,1041930,"$12,597,937.10 ",0.002935993,Industrial Machinery,TW,---
,6560939,34230,Paradise Co. Ltd.,739531,"$12,594,809.70 ",0.002935264,Casinos & Gaming,KR,---
,BLT1Y08,SAGA,Saga plc,17862063,"$12,568,383.90 ",0.002929106,Multi-line Insurance,GB,---
,BD6K6R3,GEST,Gestamp Automocion SA,2605187,"$12,562,898.06 ",0.002927827,Auto Parts & Equipment,ES,---
,BGV7F95,NEOEN,Neoen SA,362315,"$12,549,823.85 ",0.00292478,Renewable Electricity,FR,---
,6897444,1835,Totetsu Kogyo Co. Ltd.,432563,"$12,546,200.26 ",0.002923936,Construction & Engineering,JP,---
,B05R492,80,Hite Jinro Co. Ltd.,501342,"$12,545,959.15 ",0.002923879,Distillers & Vintners,KR,---
,6373632,4290,Prestige International Inc.,1388870,"$12,538,042.63 ",0.002922035,Diversified Support Services,JP,---
,6332860,7296,FCC Co. Ltd.,578551,"$12,515,513.63 ",0.002916784,Auto Parts & Equipment,JP,---
,B1L8PB5,6271,Tong Hsing Electronic Industries Ltd.,2390610,"$12,501,986.90 ",0.002913632,Electronic Components,TW,---
,B45G0N3,GLOBAL-F,Siam Global House PCL,23157310,"$12,501,480.27 ",0.002913514,Home Improvement Retail,TH,---
,BYW10R5,3301,Ronshine China Holdings Ltd.,9030341,"$12,490,763.06 ",0.002911016,Real Estate Development,KY,---
,6339872,142,First Pacific Co. Ltd.,36706379,"$12,480,114.03 ",0.002908534,Multi-Sector Holdings,BM,---
,BH4TZ73,1448,Fu Shou Yuan International Group Ltd.,14731902,"$12,478,951.24 ",0.002908263,Specialized Consumer Services,KY,---
,BBP6J80,CAV1V,CAVERION OYJ,1547244,"$12,476,273 ",0.002907639,Diversified Support Services,FI,---
,B8436W4,HBC,Hudson's Bay Co.,1639624,"$12,475,056.89 ",0.002907355,Department Stores,CA,---
,6890294,NIND,National Industries Group Holding SAK,15686804,"$12,466,590.80 ",0.002905382,Industrial Conglomerates,KW,---
,6622710,CML,Coronation Fund Managers Ltd.,4357402,"$12,450,911.03 ",0.002901728,Asset Management & Custody Banks,ZA,---
,6318514,1717,Eternal Materials Co. Ltd.,14011248,"$12,435,027.83 ",0.002898027,Commodity Chemicals,TW,---
,BDD2531,WARBABANK,Warba Bank KSCP,13697656,"$12,431,411.61 ",0.002897184,Diversified Banks,KW,---
,6574220,6454,Max Co. Ltd.,620360,"$12,421,632.81 ",0.002894905,Industrial Machinery,JP,---
,6640585,4041,Nippon Soda Co. Ltd.,460898,"$12,419,531.43 ",0.002894415,Diversified Chemicals,JP,---
,BP3R2H3,601998,China CITIC Bank Corp. Ltd.,13997684,"$12,408,096.88 ",0.00289175,Diversified Banks,CN,---
,B06FV38,BURSA,Bursa Malaysia Bhd.,8324608,"$12,398,510.50 ",0.002889516,Financial Exchanges & Data,MY,---
,6570400,MANAPPURAM,Manappuram Finance Ltd.,4979911,"$12,382,851.49 ",0.002885867,Consumer Finance,IN,---
,B12W5Y9,BAMNB,Koninklijke BAM Groep NV,4092255,"$12,382,507.67 ",0.002885787,Construction & Engineering,NL,---
,B01QGK8,NCC,NCC Group plc,4126899,"$12,378,047.10 ",0.002884747,IT Consulting & Other Services,GB,---
,4557847,DEZ,Deutz AG,1988399,"$12,374,653.37 ",0.002883956,Industrial Machinery,DE,---
,6988155,14680,Hansol Chemical Co. Ltd.,135217,"$12,374,186.49 ",0.002883847,Specialty Chemicals,KR,---
,6441573,2455,Visual Photonics Epitaxy Co. Ltd.,3131609,"$12,372,878.49 ",0.002883542,Semiconductor Equipment,TW,---
,BXNPSQ4,6456,General Interface Solution Holding Ltd.,3269516,"$12,356,451.69 ",0.002879714,Electronic Components,KY,---
,BKW7HH4,3191,Joyful Honda Co. Ltd.,970028,"$12,350,315.99 ",0.002878284,Home Improvement Retail,JP,---
,B7RLFB0,BLOOM,Bloomberry Resorts Corp.,55359144,"$12,344,510.74 ",0.002876931,Casinos & Gaming,PH,---
,BK6YZP5,9988,Alibaba Group Holding Ltd.,464200,"$12,343,241.40 ",0.002876635,Internet & Direct Marketing Retail,KY,---
,B7J4PX9,6004,Saudi Airlines Catering Co.,450423,"$12,341,032.08 ",0.002876121,Restaurants,SA,---
,2136646,BSAC,Banco Santander Chile ADR,534526,"$12,331,514.82 ",0.002873902,Diversified Banks,CL,ADR
,B03L0B0,GRND3,Grendene SA,4027901,"$12,331,009.97 ",0.002873785,Footwear,BR,---
,6137731,4559,ZERIA Pharmaceutical Co. Ltd.,641768,"$12,327,925.37 ",0.002873066,Pharmaceuticals,JP,---
,BP3R2S4,600837,Haitong Securities Co. Ltd. Class A,5529300,"$12,301,692.31 ",0.002866952,Investment Banking & Brokerage,CN,---
,6482903,9678,Kanamoto Co. Ltd.,478166,"$12,300,921.67 ",0.002866773,Trading Companies & Distributors,JP,---
,6479983,8356,Juroku Bank Ltd.,524661,"$12,292,748.28 ",0.002864868,Regional Banks,JP,---
,4318260,CFEB,Cie d'Entreprises CFE,112605,"$12,291,771.56 ",0.00286464,Construction & Engineering,BE,---
,6166597,7606,United Arrows Ltd.,433586,"$12,279,093.26 ",0.002861685,Apparel Retail,JP,---
,6265438,8114,Descente Ltd.,651233,"$12,264,500.12 ",0.002858284,"Apparel, Accessories & Luxury Goods",JP,---
,BZCRNM6,4189,KH Neochem Co. Ltd.,574765,"$12,255,797.28 ",0.002856256,Commodity Chemicals,JP,---
,6804927,6967,Shinko Electric Industries Co. Ltd.,1038408,"$12,253,595.97 ",0.002855743,Semiconductors,JP,---
,BP3R2N9,601006,Daqin Railway Co. Ltd.,10387855,"$12,250,003.36 ",0.002854906,Railroads,CN,---
,B9DG2Q7,JPFA,Japfa Comfeed Indonesia Tbk PT,110859700,"$12,245,417.06 ",0.002853837,Packaged Foods & Meats,ID,---
,6199571,36490,SK Materials Co. Ltd.,76137,"$12,242,253.47 ",0.0028531,Industrial Gases,KR,---
,BDFF8H3,6066,CSC Financial Co. Ltd.,14185623,"$12,238,836.07 ",0.002852303,Investment Banking & Brokerage,CN,---
,B1HL3P8,AU8U,CapitaLand Retail China Trust,10210277,"$12,230,034.98 ",0.002850252,Retail REITs,SG,---
,6870906,7981,Takara Standard Co. Ltd.,679257,"$12,226,905.61 ",0.002849523,Building Products,JP,---
,6344122,47040,Daewoo Engineering & Construction Co. Ltd.,2983470,"$12,220,526.13 ",0.002848036,Construction & Engineering,KR,---
,B03MSR5,FROTO,Ford Otomotiv Sanayi AS,1026262,"$12,218,955.37 ",0.00284767,Automobile Manufacturers,TR,---
,B7JW351,ACES,Ace Hardware Indonesia Tbk PT,113318672,"$12,203,655.13 ",0.002844104,Home Improvement Retail,ID,---
,BDZDPH6,VOLARA,Controladora Vuela Cia de Aviacion SAB de CV,11655106,"$12,192,939.13 ",0.002841607,Airlines,MX,---
,B03MNV4,AEFES,Anadolu Efes Biracilik Ve Malt Sanayii AS,3140620,"$12,186,124 ",0.002840019,Brewers,TR,---
,B0NN179,TIP,Tamburi Investment Partners SPA,1592838,"$12,184,334.17 ",0.002839602,Asset Management & Custody Banks,IT,---
,6986717,YINSON,Yinson Holdings Bhd.,7677813,"$12,174,554.52 ",0.002837322,Oil & Gas Equipment & Services,MY,---
,BD5CMM7,568,Luzhou Laojiao Co. Ltd.,976156,"$12,169,016.38 ",0.002836032,Distillers & Vintners,CN,---
,BP3R2T5,600015,Huaxia Bank Co. Ltd.,11042536,"$12,166,049.80 ",0.00283534,Diversified Banks,CN,---
,B24FX49,28670,Pan Ocean Co. Ltd.,3104132,"$12,163,267.29 ",0.002834692,Marine,KR,---
,B14LS01,SPNO,Spar Nord Bank A/S,1252373,"$12,157,846.18 ",0.002833428,Regional Banks,DK,---
,B1Z95S1,AMG,AMG Advanced Metallurgical Group NV,494969,"$12,149,999.54 ",0.0028316,Diversified Metals & Mining,NL,---
,6682598,6285,Wistron NeWeb Corp.,4814164,"$12,148,746.75 ",0.002831308,Communications Equipment,TW,---
,6386113,AVH,Avita Medical Ltd.,26782396,"$12,145,962.06 ",0.002830659,Biotechnology,AU,---
,BYMPX12,DCP,Dis-Chem Pharmacies Ltd.,6412045,"$12,129,774.85 ",0.002826886,Drug Retail,ZA,---
,B3NFC51,2009,BBMG Corp.,39501494,"$12,122,094.16 ",0.002825096,Construction Materials,CN,---
,B04PZG1,1740,SK Networks Co. Ltd.,2363752,"$12,121,529.14 ",0.002824965,Trading Companies & Distributors,KR,---
,6156673,6005,Capital Securities Corp.,32267508,"$12,114,248.41 ",0.002823268,Investment Banking & Brokerage,TW,---
,B14RJB7,3038,Kobe Bussan Co. Ltd.,351854,"$12,105,262.34 ",0.002821174,Food Retail,JP,---
,2569565,PSI,Pason Systems Inc.,1196797,"$12,082,714.31 ",0.002815919,Oil & Gas Equipment & Services,CA,---
,B05H328,3774,Internet Initiative Japan Inc.,447827,"$12,068,724.53 ",0.002812658,Integrated Telecommunication Services,JP,---
,B6ZZQ69,5269,ASMedia Technology Inc.,549775,"$12,057,321.89 ",0.002810001,Semiconductors,TW,---
,BG1YKN5,FATTAL,Fattal Holdings 1998 Ltd.,73916,"$12,050,748.51 ",0.002808469,"Hotels, Resorts & Cruise Lines",IL,---
,6898845,1319,Tong Yang Industry Co. Ltd.,7733142,"$12,031,543.54 ",0.002803993,Auto Parts & Equipment,TW,---
,BFY1TC8,TOM2,TomTom NV,1135833,"$12,023,371.86 ",0.002802089,Consumer Electronics,NL,---
,BN320D6,6198,Qingdao Port International Co. Ltd.,16901551,"$11,999,327 ",0.002796485,Marine Ports & Services,CN,---
,BZ1G175,145020,Hugel Inc.,34918,"$11,996,310.81 ",0.002795782,Biotechnology,KR,---
,6410636,RSG,Resolute Mining Ltd.,13629046,"$11,993,103.79 ",0.002795035,Gold,AU,---
,6721930,9948,Arcs Co. Ltd.,570211,"$11,980,518.14 ",0.002792101,Food Retail,JP,---
,B233LP1,NHPC,NHPC Ltd.,35658860,"$11,964,111.56 ",0.002788278,Renewable Electricity,IN,---
,6290991,3036,WT Microelectronics Co. Ltd.,8514296,"$11,957,477.95 ",0.002786732,Technology Distributors,TW,---
,6275459,2548,Huaku Development Co. Ltd.,3868856,"$11,956,950.66 ",0.002786609,Real Estate Development,TW,---
,6588577,TKG,Telkom SA SOC Ltd.,4796816,"$11,941,852.20 ",0.00278309,Integrated Telecommunication Services,ZA,---
,BN56JP1,FIBRAPL14,Prologis Property Mexico SA de CV,5390785,"$11,940,556.70 ",0.002782788,Industrial REITs,MX,---
,B9M3N77,535,Gemdale Properties & Investment Corp. Ltd.,90122627,"$11,921,378.84 ",0.002778319,Diversified Real Estate Activites,BM,---
,BBPD5F0,1316,Nexteer Automotive Group Ltd.,13134497,"$11,904,992.27 ",0.0027745,Auto Parts & Equipment,KY,---
,B62QFR9,SUNREIT,Sunway REIT,26742314,"$11,900,592.41 ",0.002773475,Retail REITs,MY,---
,6203740,2362,Clevo Co.,9681551,"$11,895,845.66 ",0.002772368,"Technology Hardware, Storage & Periphera",TW,---
,6598424,8848,Leopalace21 Corp.,3653957,"$11,884,400.24 ",0.002769701,Real Estate Operating Companies,JP,---
,BK4PGL3,MFGP,Micro Focus International plc ADR,846411,"$11,875,146.33 ",0.002767544,Application Software,GB,ADR
,BYVLXJ9,Z1P,Zip Co. Ltd.,4777522,"$11,875,097.42 ",0.002767533,Consumer Finance,AU,---
,B3B1C73,LABB,Genomma Lab Internacional SAB de CV,11981251,"$11,856,099.76 ",0.002763105,Pharmaceuticals,MX,---
,BP3R2W8,601169,Bank of Beijing Co. Ltd.,14521441,"$11,851,174.96 ",0.002761958,Diversified Banks,CN,---
,6388357,DIC,DUBAI INVESTMENTS PJSC,33431333,"$11,845,763.09 ",0.002760696,Industrial Conglomerates,AE,---
,B8DWT90,ALUP11,Alupar Investimento SA,1720851,"$11,816,512.95 ",0.002753879,Electric Utilities,BR,---
,6285919,39030,Eo Technics Co. Ltd.,132291,"$11,808,403.18 ",0.002751989,Semiconductor Equipment,KR,---
,6777579,6287,Sato Holdings Corp.,377127,"$11,805,852.86 ",0.002751395,Office Services & Supplies,JP,---
,6651093,UDCD,United Development Co. QSC,28266334,"$11,803,108.42 ",0.002750756,Real Estate Development,QA,---
,5964640,SAA1V,Sanoma Oyj,1113453,"$11,801,268.88 ",0.002750327,Publishing,FI,---
,6375780,6260,LS Corp.,285969,"$11,796,563.10 ",0.00274923,Electrical Components & Equipment,KR,---
,BR17H74,RLOG3,Cosan Logistica SA,2040029,"$11,795,890.77 ",0.002749073,Railroads,BR,---
,6859080,9303,Sumitomo Warehouse Co. Ltd.,879175,"$11,790,327.51 ",0.002747777,Marine Ports & Services,JP,---
,6860543,SAE,Shufersal Ltd.,1849079,"$11,787,444.47 ",0.002747105,Food Retail,IL,---
,BD5CLQ4,300015,Aier Eye Hospital Group Co. Ltd.,2071251,"$11,781,793.57 ",0.002745788,Health Care Facilities,CN,---
,BK1VBN1,GSX,GSX Techedu Inc. ADR,538954,"$11,781,534.44 ",0.002745728,Education Services,KY,ADR
,6432362,8363,Hokkoku Bank Ltd.,372133,"$11,773,963.41 ",0.002743963,Regional Banks,JP,---
,BYRJH51,HSTG,Hastings Group Holdings plc,4956066,"$11,760,194.03 ",0.002740754,Property & Casualty Insurance,GB,---
,6414809,8050,Seiko Holdings Corp.,440865,"$11,756,894.77 ",0.002739985,"Apparel, Accessories & Luxury Goods",JP,---
,B29ZGV2,51600,KEPCO Plant Service & Engineering Co. Ltd.,347137,"$11,752,359.03 ",0.002738928,Diversified Support Services,KR,---
,6584519,MET,Metlifecare Ltd.,2553662,"$11,742,588.24 ",0.002736651,Health Care Facilities,NZ,---
,B03B708,GNFT,Genfit,586656,"$11,732,442.86 ",0.002734287,Biotechnology,FR,---
,B3BH7R6,FTS,Fortis Inc./Canada,282388,"$11,724,749.76 ",0.002732494,Electric Utilities,CA,---
,6317867,ENGRO,Engro Corp. Ltd./Pakistan,5254212,"$11,718,374.48 ",0.002731008,Fertilizers & Agricultural Chemicals,PK,---
,6900955,9715,Transcosmos Inc.,430605,"$11,700,337.19 ",0.002726804,Data Processing & Outsourced Services,JP,---
,BYX9GP8,241560,Doosan Bobcat Inc.,393420,"$11,683,286.23 ",0.002722831,Construction Machinery & Heavy Trucks,KR,---
,B4MMW16,MTL,Mullen Group Ltd.,1636558,"$11,682,948.41 ",0.002722752,Trucking,CA,---
,6398709,3002,Gunze Ltd.,261474,"$11,679,367.03 ",0.002721917,"Apparel, Accessories & Luxury Goods",JP,---
,B01NTS8,GOLL4,Gol Linhas Aereas Inteligentes SA Preference Shares,1271518,"$11,678,390.18 ",0.00272169,Airlines,BR,---
,BL951P4,3081,LandMark Optoelectronics Corp.,1129765,"$11,671,967.48 ",0.002720193,Semiconductors,TW,---
,B3BQB93,4001,Abdullah Al Othaim Markets Co.,536802,"$11,667,394.03 ",0.002719127,Hypermarkets & Super Centers,SA,---
,BF29PR1,RNAM,Reliance Nippon Life Asset Management Ltd.,2347797,"$11,663,238.15 ",0.002718158,Asset Management & Custody Banks,IN,---
,B16NHT7,272,Shui On Land Ltd.,53046422,"$11,657,931.35 ",0.002716922,Real Estate Development,KY,---
,6439813,6804,Hosiden Corp.,922655,"$11,657,315.87 ",0.002716778,Electronic Components,JP,---
