Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,B3NB1P2,SU,Suncor Energy Inc.,24912323,"$816,501,841.96 ",0.190288598,Integrated Oil & Gas,CA,---
,6624608,NAB,National Australia Bank Ltd.,46573951,"$805,925,513.28 ",0.187823748,Diversified Banks,AU,---
,709954,PRU,Prudential plc,41959349,"$803,973,062.95 ",0.187368722,Life & Health Insurance,GB,---
,B1Y9TB3,BN,Danone SA,9657750,"$802,040,644.22 ",0.186918365,Packaged Foods & Meats,FR,---
,2076009,BMO,Bank of Montreal,10314012,"$799,354,793.95 ",0.186292419,Diversified Banks,CA,---
,BJMY6G0,TRP,TC Energy Corp.,14939589,"$795,673,616.91 ",0.185434508,Oil & Gas Storage & Transportation,CA,---
,6435145,7267,Honda Motor Co. Ltd.,28093194,"$795,080,597.43 ",0.185296302,Automobile Manufacturers,JP,---
,6065586,ANZ,Australia & New Zealand Banking Group Ltd.,45800399,"$789,878,129.09 ",0.184083849,Diversified Banks,AU,---
,5505072,KER,Kering SA,1196635,"$788,484,421.57 ",0.183759041,"Apparel, Accessories & Luxury Goods",FR,---
,BH0P3Z9,BHP,BHP Group plc,33559862,"$786,444,079.03 ",0.183283532,Diversified Metals & Mining,GB,---
,6563024,8316,Sumitomo Mitsui Financial Group Inc.,20947538,"$773,705,087.75 ",0.180314665,Diversified Banks,JP,---
,BQRRZ00,6098,Recruit Holdings Co. Ltd.,20647907,"$773,374,652.06 ",0.180237656,Human Resource & Employment Services,JP,---
,BZ57390,INGA,ING Groep NV,62863132,"$755,769,831.93 ",0.176134792,Diversified Banks,NL,---
,7212477,EL,EssilorLuxottica SA,4756417,"$727,171,606.16 ",0.169469875,"Apparel, Accessories & Luxury Goods",FR,---
,BGJW376,3690,Meituan Dianping,55277980,"$722,270,603.86 ",0.16832768,Internet & Direct Marketing Retail,KY,---
,6073556,941,China Mobile Ltd.,85360897,"$721,287,393.84 ",0.168098539,Wireless Telecommunication Services,HK,---
,5529027,DAI,Daimler AG,13001004,"$718,754,703.59 ",0.167508287,Automobile Manufacturers,DE,---
,5986622,PHIA,Koninklijke Philips NV,14577761,"$712,618,234.95 ",0.166078162,Health Care Equipment,NL,---
,6804585,4063,Shin-Etsu Chemical Co. Ltd.,6429408,"$707,061,953.51 ",0.164783251,Specialty Chemicals,JP,---
,BDR05C0,NG.,National Grid plc,56087296,"$700,937,044.26 ",0.163355819,Multi-Utilities,GB,---
,BRJL176,UBSG,UBS Group AG,55250847,"$697,231,889.53 ",0.16249232,Diversified Capital Markets,CH,---
,7108899,ABBN,ABB Ltd.,28808966,"$694,962,870.33 ",0.161963517,Electrical Components & Equipment,CH,---
,6639550,7974,Nintendo Co. Ltd.,1718590,"$687,367,518.24 ",0.160193394,Interactive Home Entertainment,JP,---
,5294121,MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,2321873,"$685,171,463.79 ",0.159681596,Reinsurance,DE,---
,2196286,VALE3,Vale SA,51445499,"$684,517,029.77 ",0.159529078,Steel,BR,---
,B0J7D91,4568,Daiichi Sankyo Co. Ltd.,10262765,"$677,796,883.28 ",0.157962924,Pharmaceuticals,JP,---
,6450267,660,SK Hynix Inc.,8330634,"$677,595,068.44 ",0.157915891,Semiconductors,KR,---
,4767981,SBER,Sberbank of Russia PJSC,164209814,"$674,433,017.34 ",0.157178964,Diversified Banks,RU,---
,3134865,BARC,Barclays plc,277381576,"$661,413,876.85 ",0.154144808,Diversified Banks,GB,---
,6267359,388,Hong Kong Exchanges & Clearing Ltd.,20356565,"$661,338,625.12 ",0.15412727,Financial Exchanges & Data,HK,---
,2492519,MFC,Manulife Financial Corp.,31786303,"$645,248,120.66 ",0.150377322,Life & Health Insurance,CA,---
,BCRWZ18,CFR,Cie Financiere Richemont SA,8231715,"$643,316,157.79 ",0.149927071,"Apparel, Accessories & Luxury Goods",CH,---
,BD6K457,CPG,Compass Group plc,25569357,"$640,817,684.76 ",0.149344793,Restaurants,GB,---
,4076836,ISP,Intesa Sanpaolo SPA (Registered),241237909,"$635,469,430.26 ",0.148098364,Diversified Banks,IT,---
,BX865C7,SHOP,Shopify Inc.,1589801,"$632,100,617.07 ",0.14731325,Internet Services & Infrastructure,CA,---
,6591014,8411,Mizuho Financial Group Inc.,409662717,"$631,052,508.33 ",0.147068985,Diversified Banks,JP,---
,6429104,6501,Hitachi Ltd.,14915808,"$629,383,689.71 ",0.146680061,Electronic Equipment & Instruments,JP,---
,7145056,ENI,Eni SPA,40314092,"$626,130,245.32 ",0.145921834,Integrated Oil & Gas,IT,---
,6483809,4452,Kao Corp.,7580899,"$625,235,420.17 ",0.145713292,Personal Products,JP,---
,B59L4L7,GAZP,Gazprom PJSC,149727384,"$618,625,852.72 ",0.14417291,Integrated Oil & Gas,RU,---
,6205122,INFY,Infosys Ltd.,59800243,"$615,825,073.13 ",0.143520178,IT Consulting & Other Services,IN,---
,4682329,RI,Pernod Ricard SA,3413577,"$610,820,308.84 ",0.1423538,Distillers & Vintners,FR,---
,2171573,CNQ,Canadian Natural Resources Ltd.,18722410,"$605,553,286.36 ",0.141126302,Oil & Gas Exploration & Production,CA,---
,6250724,6367,Daikin Industries Ltd.,4281195,"$604,033,084.45 ",0.140772014,Building Products,JP,---
,B59SNS8,LKOH,LUKOIL PJSC,6084054,"$603,848,527.14 ",0.140729002,Integrated Oil & Gas,RU,---
