,lambda,returns
608,0.608,-0.0109416717529577
609,0.609,-0.010976065474483336
610,0.61,-0.011010459196008977
611,0.611,-0.01104485291753462
612,0.612,-0.01107924663906026
613,0.613,-0.011113640360585897
614,0.614,-0.01114803408211153
615,0.615,-0.01118242780363717
616,0.616,-0.011216821525162813
617,0.617,-0.011251215246688451
618,0.618,-0.011285608968214091
619,0.619,-0.01132000268973973
620,0.62,-0.01135439641126537
621,0.621,-0.011388790132791007
622,0.622,-0.011423183854316647
623,0.623,-0.01145757757584228
624,0.624,-0.011491971297367922
625,0.625,-0.011526365018893557
626,0.626,-0.011560758740419196
627,0.627,-0.011595152461944837
628,0.628,-0.011629546183470476
629,0.629,-0.011663939904996116
630,0.63,-0.01169833362652175
631,0.631,-0.011732727348047384
632,0.632,-0.011767121069573032
633,0.633,-0.011801514791098668
634,0.634,-0.01183590851262431
635,0.635,-0.011870302234149945
636,0.636,-0.011904695955675584
637,0.637,-0.01193908967720122
638,0.638,-0.01197348339872686
639,0.639,-0.012007877120252504
640,0.64,-0.012042270841778148
641,0.641,-0.012076664563303781
642,0.642,-0.012111058284829413
643,0.643,-0.012145452006355053
644,0.644,-0.012179845727880691
645,0.645,-0.012214239449406332
646,0.646,-0.012248633170931972
647,0.647,-0.012283026892457607
648,0.648,-0.012317420613983245
649,0.649,-0.012351814335508884
650,0.65,-0.01238620805703452
651,0.651,-0.012420601778560162
652,0.652,-0.012454995500085804
653,0.653,-0.012489389221611441
654,0.654,-0.012523782943137076
655,0.655,-0.012558176664662713
656,0.656,-0.012592570386188356
657,0.657,-0.012626964107713993
658,0.658,-0.012661357829239633
659,0.659,-0.012695751550765272
660,0.66,-0.012730145272290907
661,0.661,-0.012764538993816544
662,0.662,-0.012798932715342184
663,0.663,-0.012833326436867827
664,0.664,-0.012867720158393464
665,0.665,-0.012902113879919097
666,0.666,-0.012936507601444743
667,0.667,-0.01297090132297038
668,0.668,-0.013005295044496015
669,0.669,-0.013039688766021655
670,0.67,-0.0130740824875473
671,0.671,-0.013108476209072933
672,0.672,-0.013142869930598568
673,0.673,-0.013177263652124203
674,0.674,-0.01321165737364985
675,0.675,-0.013246051095175492
676,0.676,-0.013280444816701131
677,0.677,-0.013314838538226766
678,0.678,-0.013349232259752408
679,0.679,-0.013383625981278041
680,0.68,-0.013418019702803681
681,0.681,-0.013452413424329322
682,0.682,-0.013486807145854958
683,0.683,-0.013521200867380598
684,0.684,-0.013555594588906233
685,0.685,-0.013589988310431875
686,0.686,-0.013624382031957514
687,0.687,-0.013658775753483149
688,0.6880000000000001,-0.013693169475008796
689,0.6890000000000001,-0.01372756319653443
690,0.6900000000000001,-0.01376195691806006
691,0.6910000000000001,-0.013796350639585708
692,0.6920000000000001,-0.013830744361111348
693,0.6930000000000001,-0.013865138082636976
694,0.6940000000000001,-0.013899531804162625
695,0.6950000000000001,-0.013933925525688257
696,0.6960000000000001,-0.013968319247213897
697,0.6970000000000001,-0.014002712968739542
698,0.6980000000000001,-0.014037106690265174
699,0.6990000000000001,-0.014071500411790816
700,0.7000000000000001,-0.01410589413331645
701,0.7010000000000001,-0.01414028785484209
702,0.7020000000000001,-0.014174681576367731
703,0.7030000000000001,-0.014209075297893371
704,0.704,-0.01424346901941901
705,0.705,-0.014277862740944645
706,0.706,-0.01431225646247028
707,0.707,-0.014346650183995922
708,0.708,-0.014381043905521562
709,0.709,-0.014415437627047202
710,0.71,-0.01444983134857284
711,0.711,-0.01448422507009847
712,0.712,-0.014518618791624116
713,0.713,-0.014553012513149752
714,0.714,-0.014587406234675391
715,0.715,-0.014621799956201024
716,0.716,-0.014656193677726666
717,0.717,-0.014690587399252306
718,0.718,-0.014724981120777941
719,0.719,-0.014759374842303582
720,0.72,-0.014793768563829225
721,0.721,-0.014828162285354864
722,0.722,-0.014862556006880497
723,0.723,-0.014896949728406134
724,0.724,-0.014931343449931772
725,0.725,-0.014965737171457414
726,0.726,-0.015000130892983054
727,0.727,-0.01503452461450869
728,0.728,-0.015068918336034333
729,0.729,-0.015103312057559964
730,0.73,-0.015137705779085603
731,0.731,-0.015172099500611245
732,0.732,-0.015206493222136876
733,0.733,-0.015240886943662527
734,0.734,-0.015275280665188164
735,0.735,-0.015309674386713792
736,0.736,-0.015344068108239434
737,0.737,-0.01537846182976508
738,0.738,-0.015412855551290714
739,0.739,-0.015447249272816356
740,0.74,-0.015481642994341991
741,0.741,-0.015516036715867633
742,0.742,-0.015550430437393277
743,0.743,-0.015584824158918912
744,0.744,-0.015619217880444548
745,0.745,-0.015653611601970187
746,0.746,-0.015688005323495822
747,0.747,-0.015722399045021464
748,0.748,-0.0157567927665471
749,0.749,-0.01579118648807274
750,0.75,-0.015825580209598383
751,0.751,-0.01585997393112402
752,0.752,-0.015894367652649653
753,0.753,-0.01592876137417529
754,0.754,-0.01596315509570094
755,0.755,-0.01599754881722657
756,0.756,-0.016031942538752206
757,0.757,-0.016066336260277852
758,0.758,-0.016100729981803487
759,0.759,-0.016135123703329125
760,0.76,-0.016169517424854764
761,0.761,-0.01620391114638041
762,0.762,-0.01623830486790604
763,0.763,-0.016272698589431676
764,0.764,-0.016307092310957318
765,0.765,-0.016341486032482956
766,0.766,-0.016375879754008595
767,0.767,-0.01641027347553424
768,0.768,-0.01644466719705987
769,0.769,-0.016479060918585517
770,0.77,-0.016513454640111152
771,0.771,-0.016547848361636787
772,0.772,-0.01658224208316243
773,0.773,-0.01661663580468807
774,0.774,-0.01665102952621371
775,0.775,-0.016685423247739348
776,0.776,-0.01671981696926498
777,0.777,-0.016754210690790618
778,0.778,-0.01678860441231626
779,0.779,-0.016822998133841895
780,0.78,-0.01685739185536754
781,0.781,-0.016891785576893168
782,0.782,-0.01692617929841882
783,0.783,-0.016960573019944452
784,0.784,-0.016994966741470087
785,0.785,-0.017029360462995732
786,0.786,-0.017063754184521364
787,0.787,-0.017098147906047006
788,0.788,-0.01713254162757264
789,0.789,-0.017166935349098286
790,0.79,-0.017201329070623928
791,0.791,-0.017235722792149563
792,0.792,-0.017270116513675195
793,0.793,-0.017304510235200833
794,0.794,-0.017338903956726475
795,0.795,-0.017373297678252114
796,0.796,-0.017407691399777755
797,0.797,-0.017442085121303394
798,0.798,-0.017476478842829032
799,0.799,-0.017510872564354664
800,0.8,-0.01754526628588031
801,0.801,-0.017579660007405948
802,0.802,-0.017614053728931586
803,0.803,-0.01764844745045722
804,0.804,-0.017682841171982867
805,0.805,-0.0177172348935085
806,0.806,-0.01775162861503414
807,0.807,-0.017786022336559775
808,0.808,-0.017820416058085417
809,0.809,-0.017854809779611056
810,0.81,-0.01788920350113669
811,0.811,-0.017923597222662326
812,0.812,-0.01795799094418797
813,0.8130000000000001,-0.01799238466571361
814,0.8140000000000001,-0.01802677838723925
815,0.8150000000000001,-0.01806117210876489
816,0.8160000000000001,-0.018095565830290525
817,0.8170000000000001,-0.01812995955181616
818,0.8180000000000001,-0.018164353273341805
819,0.8190000000000001,-0.01819874699486744
820,0.8200000000000001,-0.018233140716393082
821,0.8210000000000001,-0.01826753443791872
822,0.8220000000000001,-0.01830192815944436
823,0.8230000000000001,-0.018336321880969998
824,0.8240000000000001,-0.01837071560249563
825,0.8250000000000001,-0.01840510932402127
826,0.8260000000000001,-0.01843950304554691
827,0.8270000000000001,-0.018473896767072548
