lambda,returns
0.13,-0.030258992195922874
0.131,-0.0302042333818361
0.132,-0.030149474567749298
0.133,-0.030094715753662522
0.134,-0.030039956939575726
0.135,-0.029985198125488936
0.136,-0.029930439311402164
0.137,-0.029875680497315375
0.138,-0.029820921683228585
0.139,-0.029766162869141802
0.14,-0.029711404055055027
0.14100000000000001,-0.02965664524096823
0.14200000000000002,-0.029601886426881448
0.14300000000000002,-0.02954712761279465
0.14400000000000002,-0.029492368798707876
0.145,-0.029437609984621093
0.146,-0.029382851170534297
0.147,-0.0293280923564475
0.148,-0.029273333542360738
0.149,-0.029218574728273942
0.15,-0.029163815914187145
0.151,-0.02910905710010034
0.152,-0.029054298286013584
0.153,-0.028999539471926787
0.154,-0.028944780657840005
0.155,-0.028890021843753208
0.156,-0.02883526302966645
0.157,-0.02878050421557964
0.158,-0.02872574540149286
0.159,-0.028670986587406064
0.16,-0.028616227773319278
0.161,-0.028561468959232488
0.162,-0.02850671014514569
0.163,-0.028451951331058926
0.164,-0.028397192516972137
0.165,-0.028342433702885347
0.166,-0.028287674888798568
0.167,-0.028232916074711786
0.168,-0.02817815726062499
0.169,-0.028123398446538196
0.17,-0.028068639632451414
0.171,-0.02801388081836463
0.17200000000000001,-0.02795912200427786
0.17300000000000001,-0.027904363190191055
0.17400000000000002,-0.02784960437610428
0.17500000000000002,-0.027794845562017494
0.176,-0.02774008674793072
0.177,-0.02768532793384393
0.178,-0.027630569119757135
0.179,-0.02757581030567034
0.18,-0.027521051491583567
0.181,-0.027466292677496784
0.182,-0.02741153386340998
0.183,-0.0273567750493232
0.184,-0.027302016235236422
0.185,-0.027247257421149626
0.186,-0.02719249860706286
0.187,-0.027137739792976054
0.188,-0.02708298097888927
0.189,-0.0270282221648025
0.19,-0.026973463350715703
0.191,-0.026918704536628913
0.192,-0.026863945722542124
0.193,-0.02680918690845534
0.194,-0.026754428094368562
0.195,-0.026699669280281783
0.196,-0.02664491046619498
0.197,-0.026590151652108204
0.198,-0.026535392838021442
0.199,-0.026480634023934614
0.2,-0.026425875209847825
0.201,-0.026371116395761052
0.202,-0.026316357581674263
0.203,-0.026261598767587466
0.20400000000000001,-0.026206839953500687
0.20500000000000002,-0.026152081139413898
0.20600000000000002,-0.026097322325327126
0.20700000000000002,-0.02604256351124033
0.20800000000000002,-0.025987804697153533
0.209,-0.025933045883066743
0.21,-0.025878287068979957
0.211,-0.025823528254893216
0.212,-0.025768769440806395
0.213,-0.02571401062671962
0.214,-0.025659251812632837
0.215,-0.02560449299854604
0.216,-0.025549734184459258
0.217,-0.025494975370372448
0.218,-0.025440216556285686
0.219,-0.025385457742198882
0.22,-0.025330698928112117
0.221,-0.02527594011402532
0.222,-0.025221181299938535
0.223,-0.025166422485851762
0.224,-0.02511166367176498
0.225,-0.025056904857678176
0.226,-0.02500214604359139
0.227,-0.024947387229504597
0.228,-0.024892628415417825
0.229,-0.024837869601331032
0.23,-0.024783110787244225
0.231,-0.024728351973157467
0.232,-0.024673593159070667
0.233,-0.024618834344983874
0.234,-0.02456407553089711
0.23500000000000001,-0.02450931671681031
0.23600000000000002,-0.02445455790272353
0.23700000000000002,-0.02439979908863674
0.23800000000000002,-0.024345040274549958
0.23900000000000002,-0.02429028146046317
0.24,-0.024235522646376392
0.241,-0.02418076383228958
0.242,-0.0241260050182028
0.243,-0.024071246204116034
0.244,-0.024016487390029238
0.245,-0.02396172857594245
0.246,-0.02390696976185566
0.247,-0.023852210947768876
0.248,-0.023797452133682093
0.249,-0.0237426933195953
0.25,-0.023687934505508504
0.251,-0.023633175691421728
0.252,-0.02357841687733494
0.253,-0.023523658063248177
0.254,-0.02346889924916138
0.255,-0.023414140435074587
0.256,-0.0233593816209878
0.257,-0.023304622806901005
0.258,-0.023249863992814226
0.259,-0.023195105178727443
0.26,-0.02314034636464066
0.261,-0.02308558755055387
0.262,-0.023030828736467092
0.263,-0.0229760699223803
0.264,-0.02292131110829351
0.265,-0.02286655229420673
0.266,-0.022811793480119923
0.267,-0.02275703466603315
0.268,-0.022702275851946375
0.269,-0.022647517037859582
0.27,-0.022592758223772793
0.271,-0.022537999409685993
0.272,-0.02248324059559921
0.273,-0.022428481781512438
0.274,-0.022373722967425656
0.275,-0.022318964153338863
0.276,-0.022264205339252066
0.277,-0.02220944652516528
0.278,-0.0221546877110785
0.279,-0.022099928896991722
0.28,-0.022045170082904943
0.281,-0.021990411268818143
0.28200000000000003,-0.021935652454731364
0.28300000000000003,-0.02188089364064456
0.28400000000000003,-0.02182613482655778
0.28500000000000003,-0.021771376012471002
0.28600000000000003,-0.02171661719838421
0.28700000000000003,-0.021661858384297426
0.28800000000000003,-0.02160709957021063
0.289,-0.021552340756123865
0.29,-0.02149758194203707
0.291,-0.021442823127950282
0.292,-0.02138806431386349
0.293,-0.02133330549977671
0.294,-0.021278546685689924
0.295,-0.02122378787160313
0.296,-0.02116902905751635
0.297,-0.02111427024342956
0.298,-0.021059511429342766
0.299,-0.021004752615255994
0.3,-0.02094999380116919
0.301,-0.02089523498708242
0.302,-0.02084047617299562
0.303,-0.020785717358908842
0.304,-0.02073095854482205
0.305,-0.020676199730735263
0.306,-0.020621440916648484
0.307,-0.020566682102561684
0.308,-0.02051192328847491
0.309,-0.020457164474388122
0.31,-0.020402405660301333
0.311,-0.020347646846214554
0.312,-0.02029288803212777
0.313,-0.02023812921804097
0.314,-0.020183370403954196
0.315,-0.020128611589867406
0.316,-0.020073852775780623
