,SEDOL,ticker,name,ESG
2109,B05MTR0,3360,Ship Healthcare Holdings Inc.,N
2110,B1L3XL6,3898,Zhuzhou CRRC Times Electric Co. Ltd.,Y
2111,B0YTG26,BRES,Barwa Real Estate Co.,Y
2112,BF37983,BRE,Freni Brembo SPA,Y
2113,BD0YVN2,DNP,Dino Polska SA,Y
2114,BD5CPQ2,2415,Hangzhou Hikvision Digital Technology Co. Ltd.,N
2115,BGQV183,NEC,Nine Entertainment Co. Holdings Ltd.,Y
2116,B5TT187,CEY,Centamin plc,Y
2117,BD5CPS4,1,Ping An Bank Co. Ltd.,N
2118,6131261,4921,Fancl Corp.,Y
2119,B0MLBC9,QGTS,Qatar Gas Transport Co. Ltd.,Y
2120,6483360,4118,Kaneka Corp.,Y
2121,6454861,INTP,Indocement Tunggal Prakarsa Tbk PT,Y
2122,6728469,8299,Phison Electronics Corp.,Y
2123,6140579,2385,Chicony Electronics Co. Ltd.,Y
2124,6889515,GBK,Gulf Bank KSCP,Y
2125,6109893,1171,Yanzhou Coal Mining Co. Ltd.,N
2126,B17BBR6,INL,Investec Ltd.,Y
2127,6644015,4205,Zeon Corp.,Y
2128,6292102,2670,ABC-Mart Inc.,N
2129,2228952,BCB,Cott Corp.,N
2130,B432QW4,SVW,Seven Group Holdings Ltd.,N
2131,B036QP1,3349,Cosmos Pharmaceutical Corp.,N
2132,6137720,3037,Unimicron Technology Corp.,Y
2133,BNGN809,CERV,Cerved Group SPA,Y
2134,B00R3L2,CENCOSUD,Cencosud SA,Y
2135,B6WY993,867,China Medical System Holdings Ltd.,Y
2136,5782206,BZU,Buzzi Unicem SPA,Y
2137,6249120,9627,Ain Holdings Inc.,Y
2138,6642666,5214,Nippon Electric Glass Co. Ltd.,Y
2139,B133RS9,2050,Savola Group,Y
2140,6421928,6121,Simplo Technology Co. Ltd.,Y
2141,BYYZ7D0,INDIGO,InterGlobe Aviation Ltd.,Y
2142,6416980,IBLD,Industrial Buildings Corp. Ltd.,N
2143,6354176,7730,Mani Inc.,N
2144,BZCNN35,BCP,Banco Comercial Portugues SA,Y
2145,6366999,GGRM,Gudang Garam Tbk PT,N
2146,6868439,2347,Synnex Technology International Corp.,Y
2147,6823193,SKC,SKYCITY Entertainment Group Ltd.,N
2148,6010047,4206,Aica Kogyo Co. Ltd.,Y
2149,B15DYL9,BOUBYAN,Boubyan Bank KSCP,N
2150,B1YWXY3,KBCA,KBC Ancora,Y
2151,6335278,5483,Sino-American Silicon Products Inc.,Y
2152,6049784,8572,Acom Co. Ltd.,Y
2153,6520278,6176,Radiant Opto-Electronics Corp.,Y
2154,BJ62K68,PETS,PETS AT HOME GROUP PLC,Y
2155,6101156,TATASTEEL,Tata Steel Ltd.,N
2156,BFRSRR7,CRBN,Corbion NV,Y
2157,B5N4QN8,4927,Pola Orbis Holdings Inc.,Y
2158,B1G8KX7,TAEE11,Transmissora Alianca de Energia Eletrica SA,Y
2159,6195803,8382,Chugoku Bank Ltd.,Y
2160,BYZN904,FUTR,Future plc,N
2161,BD5CPW8,2,China Vanke Co. Ltd.,N
2162,6895761,4043,Tokuyama Corp.,Y
2163,6352147,FLT,Flight Centre Travel Group Ltd.,Y
2164,BG0RZ29,HMN,Ascott Trust,Y
2165,6005850,2353,Acer Inc.,Y
2166,6474494,JFC,Jollibee Foods Corp.,Y
2167,BJFHBT4,BANPU-F,Banpu PCL,N
